City	State	Pop_est	lat	long
Joliet	Illinois	147861	41.5181	-88.1584
Mobile	Alabama	194288	30.6684	-88.1002
Green Bay	Wisconsin	105207	44.5207	-87.9842
Milwaukee	Wisconsin	600155	43.0633	-87.9667
Chicago	Illinois	2720546	41.8376	-87.6818
Evansville	Indiana	119943	37.9877	-87.5347
Clarksville	Tennessee	149176	36.5664	-87.3452
Birmingham	Alabama	212461	33.5274	-86.799
Nashville	Tennessee	654610	36.1718	-86.785
Huntsville	Alabama	190582	34.7843	-86.539
Murfreesboro	Tennessee	126118	35.8522	-86.4161
South Bend	Indiana	101516	41.6769	-86.269
Montgomery	Alabama	200602	32.3463	-86.2686
Indianapolis	Indiana	853173	39.7767	-86.1459
Louisville	Kentucky	615366	38.1781	-85.6667
Grand Rapids	Michigan	195097	42.9612	-85.6556
Chattanooga	Tennessee	176588	35.0665	-85.2471
Fort Wayne	Indiana	260326	41.0882	-85.1439
Columbus	Georgia	200579	32.5102	-84.8749
Lansing	Michigan	115056	42.7098	-84.5562
Cincinnati	Ohio	298550	39.1399	-84.5064
Lexington	Kentucky	314488	38.0402	-84.4584
Atlanta	Georgia	463878	33.7629	-84.4227
Tallahassee	Florida	189907	30.4551	-84.2534
Sandy Springs	Georgia	105330	33.5615	-84.227
Dayton	Ohio	140599	39.7774	-84.1996
Knoxville	Tennessee	185291	35.9709	-83.9465
Ann Arbor	Michigan	117070	42.2756	-83.7313
Toledo	Ohio	279789	41.6641	-83.5819
Macon	Georgia	153515	32.505	-83.396
Athens	Georgia	122604	33.9496	-83.3701
Detroit	Michigan	677116	42.383	-83.1022
Sterling Heights	Michigan	132052	42.5812	-83.0303
Warren	Michigan	135358	42.4929	-83.025
Columbus	Ohio	850106	39.9848	-82.985
Clearwater	Florida	113003	27.9795	-82.7663
St. Petersburg	Florida	257083	27.762	-82.6441
Tampa	Florida	369075	27.9701	-82.4797
Gainesville	Florida	130128	29.6788	-82.3459
Augusta	Georgia	197182	33.3655	-82.0734
Cape Coral	Florida	175229	26.6431	-81.9973
Lakeland	Florida	104401	28.0411	-81.9589
Cleveland	Ohio	388072	41.4781	-81.6795
Jacksonville	Florida	868031	30.337	-81.6613
Akron	Ohio	197542	41.0805	-81.5214
Orlando	Florida	270934	28.4159	-81.2988
Savannah	Georgia	145674	32.0025	-81.1536
Columbia	South Carolina	133803	34.0298	-80.8966
Charlotte	North Carolina	827097	35.2087	-80.8307
Palm Bay	Florida	107888	27.9856	-80.6626
Port St. Lucie	Florida	179413	27.281	-80.3838
Pembroke Pines	Florida	166611	26.0212	-80.3404
Miramar	Florida	137132	25.977	-80.3358
Hialeah	Florida	237069	25.8699	-80.3029
Davie	Florida	100882	26.0814	-80.2803
Winston_ÑÐSalem	North Carolina	241218	36.1033	-80.2606
Coral Springs	Florida	129485	26.2708	-80.2593
Miami Gardens	Florida	113187	25.9489	-80.2436
Miami	Florida	441003	25.7752	-80.2086
Hollywood	Florida	149728	26.0311	-80.1646
Fort Lauderdale	Florida	178590	26.1413	-80.1439
Pompano Beach	Florida	107762	26.2426	-80.129
West Palm Beach	Florida	106779	26.7483	-80.1266
North Charleston	South Carolina	108304	32.8853	-80.0169
High Point	North Carolina	110268	35.9855	-79.9902
Pittsburgh	Pennsylvania	304391	40.4398	-79.9766
Charleston	South Carolina	132609	32.8179	-79.9589
Greensboro	North Carolina	285342	36.0965	-79.8271
Fayetteville	North Carolina	201963	35.0851	-78.9803
Durham	North Carolina	257636	35.981	-78.9056
Buffalo	New York	258071	42.8925	-78.8597
Cary	North Carolina	159769	35.7821	-78.8141
Raleigh	North Carolina	451066	35.8302	-78.6414
Wilmington	North Carolina	115933	34.2092	-77.8858
Rochester	New York	209802	43.1699	-77.6169
Richmond	Virginia	220289	37.5314	-77.476
Alexandria	Virginia	153511	38.8183	-77.082
Washington	District of Columbia	672228	38.9041	-77.0171
Baltimore	Maryland	621849	39.3002	-76.6105
Newport News	Virginia	182385	37.076	-76.5217
Chesapeake	Virginia	235429	36.6794	-76.3018
Hampton	Virginia	136454	37.048	-76.2971
Norfolk	Virginia	246393	36.923	-76.2446
Syracuse	New York	144142	43.041	-76.1436
Virginia Beach	Virginia	452745	36.7793	-76.024
Allentown	Pennsylvania	120207	40.594	-75.4782
Philadelphia	Pennsylvania	1567442	40.0094	-75.1333
Edison	New Jersey	102701	40.504	-74.3494
Woodbridge	New Jersey	102105	40.5608	-74.2926
Elizabeth	New Jersey	129007	40.6663	-74.1935
Newark	New Jersey	281944	40.7242	-74.1726
Paterson	New Jersey	147754	40.9147	-74.1628
Jersey City	New Jersey	264290	40.7114	-74.0648
New York	New York	8550405	40.6643	-73.9385
Yonkers	New York	201116	40.9459	-73.8674
Stamford	Connecticut	128874	41.0799	-73.546
Bridgeport	Connecticut	147629	41.1874	-73.1957
Waterbury	Connecticut	108802	41.5585	-73.0367
New Haven	Connecticut	130322	41.3108	-72.925
Hartford	Connecticut	124006	41.766	-72.6833
Springfield	Massachusetts	154341	42.1155	-72.54
Worcester	Massachusetts	184815	42.2695	-71.8078
Manchester	New Hampshire	110229	42.9847	-71.4439
Providence	Rhode Island	179207	41.8231	-71.4188
Lowell	Massachusetts	110699	42.6389	-71.3221
Cambridge	Massachusetts	110402	42.376	-71.1183
Boston	Massachusetts	667137	42.332	-71.0202
